id,title,url,assigned_categories,status
TUMBLR-00047,NPR Interviews Studio 20 Professor,https://tmblr.co/ZCJQUyDNDvc,,Needs Review
TUMBLR-00048,Studio 20,https://tmblr.co/ZCJQUyDVPS8,Journalism Education,Categorized
TUMBLR-00049,Studio 20,https://tmblr.co/ZCJQUyDWDwP,Journalism Education,Categorized
TUMBLR-00050,Studio 20,https://tmblr.co/ZCJQUyDWGy2,Journalism Education,Categorized
TUMBLR-00051,Studio 20 Professor discusses producing TV News,https://tmblr.co/ZCJQUyDgR3x,,Needs Review
TUMBLR-00052,Studio 20,https://tmblr.co/ZCJQUyDleuJ,Journalism Education,Categorized
TUMBLR-00053,Studio 20,https://tmblr.co/ZCJQUyDmy5F,Journalism Education,Categorized
TUMBLR-00054,Studio 20,https://tmblr.co/ZCJQUyDn3D2,Journalism Education,Categorized
TUMBLR-00055,Studio 20,https://tmblr.co/ZCJQUyDnLJ0,Journalism Education,Categorized
TUMBLR-00056,Studio 20,https://tmblr.co/ZCJQUyDxNSa,Journalism Education,Categorized
TUMBLR-00057,"Q&A: Prof. Jay Rosen on NYU ""Studio 20"" Course",https://tmblr.co/ZCJQUyDxR6r,Journalism Education; Technology & Digital Media,Categorized
TUMBLR-00058,Rebooting the News System in the Age of Social Media,https://tmblr.co/ZCJQUyE24so,Technology & Digital Media; Audience & Public Engagement; Press & Media Criticism,Categorized
TUMBLR-00059,"Get with the times, Jay Rosen tells journos",https://tmblr.co/ZCJQUyEGH-x,Technology & Digital Media; Audience & Public Engagement,Categorized
TUMBLR-00060,Studio 20,https://tmblr.co/ZCJQUyEGSg1,Journalism Education,Categorized
TUMBLR-00061,Mark your calendar for Nov. 15,https://tmblr.co/ZCJQUyEHm-v,,Needs Review
TUMBLR-00062,Sources of subsidy in the production of news: a list,https://tmblr.co/ZCJQUyEsFnE,Press & Media Criticism,Categorized
TUMBLR-00063,Studio 20,https://tmblr.co/ZCJQUyEzqxy,Journalism Education,Categorized
TUMBLR-00064,You can still apply...,https://tmblr.co/ZCJQUyFj9Ov,,Needs Review
TUMBLR-00065,Studio 20,https://tmblr.co/ZCJQUyFuXf8,Journalism Education,Categorized
TUMBLR-00066,What Are Journalism Schools For?,https://tmblr.co/ZCJQUyFucPz,Journalism Education,Categorized
TUMBLR-00067,Studio 20,https://tmblr.co/ZCJQUyF_3UT,Journalism Education,Categorized
TUMBLR-00068,Jay Rosen and Clay Shirky on new media,https://tmblr.co/ZCJQUyG1K6k,Journalism Education,Categorized
TUMBLR-00069,Mediabistro on Rosen and Shirky,https://tmblr.co/ZCJQUyG3DSO,Journalism Education; Technology & Digital Media; Audience & Public Engagement; Press & Media Criticism,Categorized
TUMBLR-00070,Studio 20,https://tmblr.co/ZCJQUyG4cqf,Journalism Education,Categorized
TUMBLR-00071,David Holmes explains it all -- in song,https://tmblr.co/ZCJQUyQ1WnhJ,Technology & Digital Media,Categorized
TUMBLR-00072,Studio 20,https://tmblr.co/ZCJQUyGuMqf,Journalism Education,Categorized
TUMBLR-00073,This Year's Studio 20 Summer Gigs,https://tmblr.co/ZCJQUyQP4epJ,Journalism Education; Technology & Digital Media; Audience & Public Engagement,Categorized
TUMBLR-00074,Studio 20,https://tmblr.co/ZCJQUyHSm8-,Journalism Education,Categorized
TUMBLR-00075,Studio 20,https://tmblr.co/ZCJQUyHV8Cl,Journalism Education,Categorized
TUMBLR-00076,Studio 20,https://tmblr.co/ZCJQUyHe6yS,Journalism Education,Categorized
TUMBLR-00077,"Rosen: ""Journalism"" and ""the media"" are not synonymous",https://tmblr.co/ZCJQUyHkKxe,,Needs Review
TUMBLR-00078,Studio 20 Professor Named Executive Producer of State of the Union live coverage,https://tmblr.co/ZCJQUyIGwU9,Politics & Democracy,Categorized
TUMBLR-00079,Studio 20 prof brings us 'Obama Revealed',https://tmblr.co/ZCJQUyShr8jh,Politics & Democracy,Categorized
TUMBLR-00080,Studio 20,https://tmblr.co/ZCJQUyI-ml8,Journalism Education,Categorized
TUMBLR-00081,Kevin Convey brings innovation from the newsroom to the classroom,https://tmblr.co/ZCJQUyToZmhS,Journalism Education; Technology & Digital Media; Press & Media Criticism,Categorized
TUMBLR-00082,Studio 20,https://tmblr.co/ZCJQUyURKQR1,Journalism Education,Categorized
TUMBLR-00083,Studio 20,https://tmblr.co/ZCJQUyJXZYC,Journalism Education,Categorized
TUMBLR-00084,Final projects for Studio 20 students: they're all about incremental innovation. All have media partners.,https://tmblr.co/ZCJQUyUhMBam,Technology & Digital Media; Audience & Public Engagement; Politics & Democracy,Categorized
TUMBLR-00085,Studio 20,https://tmblr.co/ZCJQUyJzxSH,Journalism Education,Categorized
TUMBLR-00086,Lewis Dvorkin fields some good questions from Studio 20,https://tmblr.co/ZCJQUyVi2VTh,Technology & Digital Media,Categorized
TUMBLR-00087,Reactions to Dave Winer's Announcement,https://tmblr.co/ZCJQUyKg-dD,Journalism Education,Categorized
TUMBLR-00088,Studio 20,https://tmblr.co/ZCJQUyKjOrw,Journalism Education,Categorized
TUMBLR-00089,Studio 20,https://tmblr.co/ZCJQUyKjol2,Journalism Education,Categorized
TUMBLR-00090,Studio 20,https://tmblr.co/ZCJQUyL9Fl6,Journalism Education,Categorized
TUMBLR-00091,Studio 20,https://tmblr.co/ZCJQUyLo3j_,Journalism Education,Categorized
TUMBLR-00092,Studio 20,https://tmblr.co/ZCJQUyL_B4y,Journalism Education,Categorized
TUMBLR-00093,Studio 20,https://tmblr.co/ZCJQUyL_fkx,Journalism Education,Categorized
TUMBLR-00094,Open Studio Night: An Invitation.,https://tmblr.co/ZCJQUyYVwnIL,Journalism Education; Technology & Digital Media; Audience & Public Engagement,Categorized
TUMBLR-00095,Studio 20,https://tmblr.co/ZCJQUyM7WxE,Journalism Education,Categorized
TUMBLR-00096,Studio 20,https://tmblr.co/ZCJQUyMZ0qt,Journalism Education,Categorized
TUMBLR-00097,Studio 20,https://tmblr.co/ZCJQUyMbLJN,Journalism Education,Categorized
TUMBLR-00098,Studio 20,https://tmblr.co/ZCJQUyZKApP2,Journalism Education,Categorized
TUMBLR-00099,Studio 20,https://tmblr.co/ZCJQUyN5USM,Journalism Education,Categorized
TUMBLR-00100,What's going on in NY?,https://tmblr.co/ZCJQUyN7pCD,Journalism Education; Technology & Digital Media,Categorized
